,Year,Laureate_Id,Firstname,Lastname,Category,Prize_Share,Motivation,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country,Birth_Year,Death_Year
0,1901,1,Wilhelm Conrad,Röntgen,physics,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",male,1845-03-27,Prussia (now Germany),Lennep (now Remscheid),DE,10/02/1923,Germany,Munich,DE,Munich University,Munich,Germany,1845.0,1923.0
1,1901,293,Emil,von Behring,medicine,1,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",male,1854-03-15,Prussia (now Poland),Hansdorf (now Lawice),PL,31/03/1917,Germany,Marburg,DE,Marburg University,Marburg,Germany,1854.0,1917.0
2,1901,462,Henry,Dunant,peace,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",male,1828-05-08,Switzerland,Geneva,CH,30/10/1910,Switzerland,Heiden,CH,,,,1828.0,1910.0
3,1901,463,Frédéric,Passy,peace,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",male,1822-05-20,France,Paris,FR,12/06/1912,France,Paris,FR,,,,1822.0,1912.0
4,1901,569,Sully,Prudhomme,literature,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",male,1839-03-16,France,Paris,FR,07/09/1907,France,Châtenay,FR,,,,1839.0,1907.0
5,1901,160,Jacobus H.,van 't Hoff,chemistry,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",male,1852-08-30,the Netherlands,Rotterdam,NL,01/03/1911,Germany,Berlin,DE,Berlin University,Berlin,Germany,1852.0,1911.0
6,1902,161,Emil,Fischer,chemistry,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",male,1852-10-09,Prussia (now Germany),Euskirchen,DE,15/07/1919,Germany,Berlin,DE,Berlin University,Berlin,Germany,1852.0,1919.0
7,1902,571,Theodor,Mommsen,literature,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",male,1817-11-30,Schleswig (now Germany),Garding,DE,01/11/1903,Germany,Charlottenburg,DE,,,,1817.0,1903.0
8,1902,465,Albert,Gobat,peace,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",male,1843-05-21,Switzerland,Tramelan,CH,16/03/1914,Switzerland,Bern,CH,,,,1843.0,1914.0
9,1902,464,Élie,Ducommun,peace,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",male,1833-02-19,Switzerland,Geneva,CH,07/12/1906,Switzerland,Bern,CH,,,,1833.0,1906.0
10,1902,3,Pieter,Zeeman,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",male,1865-05-25,the Netherlands,Zonnemaire,NL,09/10/1943,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands,1865.0,1943.0
11,1902,294,Ronald,Ross,medicine,1,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",male,1857-05-13,India,Almora,IN,16/09/1932,United Kingdom,Putney Heath,GB,University College,Liverpool,United Kingdom,1857.0,1932.0
12,1902,2,Hendrik A.,Lorentz,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",male,1853-07-18,the Netherlands,Arnhem,NL,04/02/1928,the Netherlands,,NL,Leiden University,Leiden,the Netherlands,1853.0,1928.0
13,1903,5,Pierre,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",male,1859-05-15,France,Paris,FR,19/04/1906,France,Paris,FR,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1859.0,1906.0
14,1903,466,Randal,Cremer,peace,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",male,1828-03-18,United Kingdom,Fareham,GB,22/07/1908,United Kingdom,London,GB,,,,1828.0,1908.0
15,1903,4,Henri,Becquerel,physics,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",male,1852-12-15,France,Paris,FR,25/08/1908,France,,FR,École Polytechnique,Paris,France,1852.0,1908.0
16,1903,6,Marie,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,04/07/1934,France,Sallanches,FR,,,,1867.0,1934.0
17,1903,295,Niels Ryberg,Finsen,medicine,1,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",male,1860-12-15,Faroe Islands (Denmark),Thorshavn,DK,24/09/1904,Denmark,Copenhagen,DK,Finsen Medical Light Institute,Copenhagen,Denmark,1860.0,1904.0
18,1903,572,Bjørnstjerne,Bjørnson,literature,1,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",male,1832-12-08,Norway,Kvikne,NO,26/04/1910,France,Paris,FR,,,,1832.0,1910.0
19,1903,162,Svante,Arrhenius,chemistry,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",male,1859-02-19,Sweden,Vik,SE,02/10/1927,Sweden,Stockholm,SE,Stockholm University,Stockholm,Sweden,1859.0,1927.0
20,1904,574,José,Echegaray,literature,2,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",male,1832-04-19,Spain,Madrid,ES,04/09/1916,Spain,Madrid,ES,,,,1832.0,1916.0
21,1904,8,Lord,Rayleigh,physics,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",male,1842-11-12,United Kingdom,Langford Grove Maldon Essex,GB,30/06/1919,United Kingdom,,GB,Royal Institution of Great Britain,London,United Kingdom,1842.0,1919.0
22,1904,467,Institute of International Law,unknown,peace,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",org,1873-00-00,,,,0000-00-00,,,,,,,1873.0,
23,1904,163,Sir William,Ramsay,chemistry,1,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",male,1852-10-02,Scotland,Glasgow,GB,23/07/1916,United Kingdom,High Wycombe,GB,University College,London,United Kingdom,1852.0,1916.0
24,1904,296,Ivan,Pavlov,medicine,1,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",male,1849-09-14,Russia,Ryazan,RU,27/02/1936,Russia,Leningrad,RU,Military Medical Academy,St. Petersburg,Russia,1849.0,1936.0
25,1904,573,Frédéric,Mistral,literature,2,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",male,1830-09-08,France,Maillane,FR,25/03/1914,France,Maillane,FR,,,,1830.0,1914.0
26,1905,164,Adolf,von Baeyer,chemistry,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",male,1835-10-31,Prussia (now Germany),Berlin,DE,20/08/1917,Germany,Starnberg,DE,Munich University,Munich,Germany,1835.0,1917.0
27,1905,575,Henryk,Sienkiewicz,literature,1,"""because of his outstanding merits as an epic writer""",male,1846-05-05,Poland,Wola Okrzejska,PL,15/11/1916,Switzerland,Vevey,CH,,,,1846.0,1916.0
28,1905,9,Philipp,Lenard,physics,1,"""for his work on cathode rays""",male,1862-06-07,Hungary (now Slovakia),Pressburg (now Bratislava),SK,20/05/1947,Germany,Messelhausen,DE,Kiel University,Kiel,Germany,1862.0,1947.0
29,1905,468,Bertha,von Suttner,peace,1,"""for her audacity to oppose the horrors of war""",female,1843-06-09,Austrian Empire (now Czech Republic),Prague,CZ,21/06/1914,Austria,Vienna,AT,,,,1843.0,1914.0
30,1905,297,Robert,Koch,medicine,1,"""for his investigations and discoveries in relation to tuberculosis""",male,1843-12-11,Germany,Clausthal (now Clausthal-Zellerfeld),DE,27/05/1910,Germany,Baden-Baden,DE,Institute for Infectious Diseases,Berlin,Germany,1843.0,1910.0
31,1906,576,Giosuè,Carducci,literature,1,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",male,1835-07-27,Tuscany (now Italy),Val di Castello,IT,16/02/1907,Italy,Bologna,IT,,,,1835.0,1907.0
32,1906,470,Theodore,Roosevelt,peace,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",male,1858-10-27,USA,New York NY,US,06/01/1919,USA,Oyster Bay NY,US,,,,1858.0,1919.0
33,1906,10,J.J.,Thomson,physics,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",male,1856-12-18,United Kingdom,Cheetham Hill,GB,30/08/1940,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom,1856.0,1940.0
34,1906,299,Santiago,Ramón y Cajal,medicine,2,"""in recognition of their work on the structure of the nervous system""",male,1852-05-01,Spain,Petilla de Aragón,ES,17/10/1934,Spain,Madrid,ES,Madrid University,Madrid,Spain,1852.0,1934.0
35,1906,165,Henri,Moissan,chemistry,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",male,1852-09-28,France,Paris,FR,20/02/1907,France,Paris,FR,Sorbonne University,Paris,France,1852.0,1907.0
36,1906,298,Camillo,Golgi,medicine,2,"""in recognition of their work on the structure of the nervous system""",male,1843-07-07,Italy,Corteno,IT,21/01/1926,Italy,Pavia,IT,Pavia University,Pavia,Italy,1843.0,1926.0
37,1907,300,Alphonse,Laveran,medicine,1,"""in recognition of his work on the role played by protozoa in causing diseases""",male,1845-06-18,France,Paris,FR,18/05/1922,France,Paris,FR,Institut Pasteur,Paris,France,1845.0,1922.0
